MODULE,CONTRACT_REF_NO,MAKER_ID,MAKER_DT_STAMP,CHECKER_ID,CHECKER_DT_STAMP,EVENT_SEQ_NO,EVENT_DATE,EVENT_CODE,CONTRACT_STATUS,AUTH_STATUS,NEW_VERSION_INDICATOR,REVERSED_EVENT_SEQ_NO,EVENT_VALUE_DATE,ECA_STATUS,WORKFLOW_STATUS,RATE_REVISION_STATUS,RELEASE_BY,RELEASE_DT_STAMP,RATE_ASSIGNED_BY,RATE_ASSIGN_DT_STAMP,RATE_ASSIGN_AUTH_BY,RATE_ASSIGN_AUTH_DT_STAMP,INFORM_STATUS,TRN_TYPE,CUTOFF_STATUS,CUTOFF_EVENT_SEQ_NO,TXN_ID,TXN_BRANCH,ARCHIVE_DATE
MO,CONTRACT_REF_NO_,MAKER_ID_1,2026-01-01,CHECKER_ID_1,2026-01-01,757853,2026-01-01,EVEN,C,U,N,1538,2026-01-01,E,WO,RA,RELEASE_BY_1,2026-01-01,RATE_ASSIGNE,2026-01-01,RATE_ASSIGN_,2026-01-01,I,TRN_TYPE_1,C,3239,TXN0000000000000001,001,2026-01-01
MO,CONTRACT_REF_NO_,MAKER_ID_2,2026-01-02,CHECKER_ID_2,2026-01-02,644843,2026-01-02,EVEN,C,A,N,7506,2026-01-02,E,WO,RA,RELEASE_BY_2,2026-01-02,RATE_ASSIGNE,2026-01-02,RATE_ASSIGN_,2026-01-02,I,TRN_TYPE_2,C,9034,TXN0000000000000002,002,2026-01-02
MO,CONTRACT_REF_NO_,MAKER_ID_3,2026-01-03,CHECKER_ID_3,2026-01-03,838041,2026-01-03,EVEN,C,A,N,4435,2026-01-03,E,WO,RA,RELEASE_BY_3,2026-01-03,RATE_ASSIGNE,2026-01-03,RATE_ASSIGN_,2026-01-03,I,TRN_TYPE_3,C,9101,TXN0000000000000003,003,2026-01-03
MO,CONTRACT_REF_NO_,MAKER_ID_4,2026-01-04,CHECKER_ID_4,2026-01-04,20207,2026-01-04,EVEN,C,A,N,5245,2026-01-04,E,WO,RA,RELEASE_BY_4,2026-01-04,RATE_ASSIGNE,2026-01-04,RATE_ASSIGN_,2026-01-04,I,TRN_TYPE_4,C,649,TXN0000000000000004,004,2026-01-04
MO,CONTRACT_REF_NO_,MAKER_ID_5,2026-01-05,CHECKER_ID_5,2026-01-05,455438,2026-01-05,EVEN,C,A,N,1159,2026-01-05,E,WO,RA,RELEASE_BY_5,2026-01-05,RATE_ASSIGNE,2026-01-05,RATE_ASSIGN_,2026-01-05,I,TRN_TYPE_5,C,5776,TXN0000000000000005,005,2026-01-05
MO,CONTRACT_REF_NO_,MAKER_ID_6,2026-01-06,CHECKER_ID_6,2026-01-06,140634,2026-01-06,EVEN,C,A,N,7151,2026-01-06,E,WO,RA,RELEASE_BY_6,2026-01-06,RATE_ASSIGNE,2026-01-06,RATE_ASSIGN_,2026-01-06,I,TRN_TYPE_6,C,2768,TXN0000000000000006,006,2026-01-06
MO,CONTRACT_REF_NO_,MAKER_ID_7,2026-01-07,CHECKER_ID_7,2026-01-07,187826,2026-01-07,EVEN,C,A,N,7065,2026-01-07,E,WO,RA,RELEASE_BY_7,2026-01-07,RATE_ASSIGNE,2026-01-07,RATE_ASSIGN_,2026-01-07,I,TRN_TYPE_7,C,7938,TXN0000000000000007,007,2026-01-07
MO,CONTRACT_REF_NO_,MAKER_ID_8,2026-01-08,CHECKER_ID_8,2026-01-08,402564,2026-01-08,EVEN,C,A,N,7779,2026-01-08,E,WO,RA,RELEASE_BY_8,2026-01-08,RATE_ASSIGNE,2026-01-08,RATE_ASSIGN_,2026-01-08,I,TRN_TYPE_8,C,7645,TXN0000000000000008,008,2026-01-08
MO,CONTRACT_REF_NO_,MAKER_ID_9,2026-01-09,CHECKER_ID_9,2026-01-09,278141,2026-01-09,EVEN,C,A,N,8923,2026-01-09,E,WO,RA,RELEASE_BY_9,2026-01-09,RATE_ASSIGNE,2026-01-09,RATE_ASSIGN_,2026-01-09,I,TRN_TYPE_9,C,3605,TXN0000000000000009,009,2026-01-09
MO,CONTRACT_REF_NO_,MAKER_ID_10,2026-01-10,CHECKER_ID_1,2026-01-10,656669,2026-01-10,EVEN,C,A,N,8894,2026-01-10,E,WO,RA,RELEASE_BY_1,2026-01-10,RATE_ASSIGNE,2026-01-10,RATE_ASSIGN_,2026-01-10,I,TRN_TYPE_1,C,2141,TXN0000000000000010,010,2026-01-10
MO,CONTRACT_REF_NO_,MAKER_ID_11,2026-01-11,CHECKER_ID_1,2026-01-11,201972,2026-01-11,EVEN,C,A,N,9332,2026-01-11,E,WO,RA,RELEASE_BY_1,2026-01-11,RATE_ASSIGNE,2026-01-11,RATE_ASSIGN_,2026-01-11,I,TRN_TYPE_1,C,4897,TXN0000000000000011,011,2026-01-11
MO,CONTRACT_REF_NO_,MAKER_ID_12,2026-01-12,CHECKER_ID_1,2026-01-12,709424,2026-01-12,EVEN,C,A,N,7117,2026-01-12,E,WO,RA,RELEASE_BY_1,2026-01-12,RATE_ASSIGNE,2026-01-12,RATE_ASSIGN_,2026-01-12,I,TRN_TYPE_1,C,926,TXN0000000000000012,012,2026-01-12
MO,CONTRACT_REF_NO_,MAKER_ID_13,2026-01-13,CHECKER_ID_1,2026-01-13,60533,2026-01-13,EVEN,C,A,N,1662,2026-01-13,E,WO,RA,RELEASE_BY_1,2026-01-13,RATE_ASSIGNE,2026-01-13,RATE_ASSIGN_,2026-01-13,I,TRN_TYPE_1,C,8883,TXN0000000000000013,013,2026-01-13
MO,CONTRACT_REF_NO_,MAKER_ID_14,2026-01-14,CHECKER_ID_1,2026-01-14,360131,2026-01-14,EVEN,C,A,N,5431,2026-01-14,E,WO,RA,RELEASE_BY_1,2026-01-14,RATE_ASSIGNE,2026-01-14,RATE_ASSIGN_,2026-01-14,I,TRN_TYPE_1,C,5981,TXN0000000000000014,014,2026-01-14
MO,CONTRACT_REF_NO_,MAKER_ID_15,2026-01-15,CHECKER_ID_1,2026-01-15,31826,2026-01-15,EVEN,C,A,N,5399,2026-01-15,E,WO,RA,RELEASE_BY_1,2026-01-15,RATE_ASSIGNE,2026-01-15,RATE_ASSIGN_,2026-01-15,I,TRN_TYPE_1,C,674,TXN0000000000000015,015,2026-01-15
MO,CONTRACT_REF_NO_,MAKER_ID_16,2026-01-16,CHECKER_ID_1,2026-01-16,20270,2026-01-16,EVEN,C,A,N,8972,2026-01-16,E,WO,RA,RELEASE_BY_1,2026-01-16,RATE_ASSIGNE,2026-01-16,RATE_ASSIGN_,2026-01-16,I,TRN_TYPE_1,C,6486,TXN0000000000000016,016,2026-01-16
MO,CONTRACT_REF_NO_,MAKER_ID_17,2026-01-17,CHECKER_ID_1,2026-01-17,947611,2026-01-17,EVEN,C,A,N,3417,2026-01-17,E,WO,RA,RELEASE_BY_1,2026-01-17,RATE_ASSIGNE,2026-01-17,RATE_ASSIGN_,2026-01-17,I,TRN_TYPE_1,C,2470,TXN0000000000000017,017,2026-01-17
MO,CONTRACT_REF_NO_,MAKER_ID_18,2026-01-18,CHECKER_ID_1,2026-01-18,896469,2026-01-18,EVEN,C,A,N,4349,2026-01-18,E,WO,RA,RELEASE_BY_1,2026-01-18,RATE_ASSIGNE,2026-01-18,RATE_ASSIGN_,2026-01-18,I,TRN_TYPE_1,C,272,TXN0000000000000018,018,2026-01-18
MO,CONTRACT_REF_NO_,MAKER_ID_19,2026-01-19,CHECKER_ID_1,2026-01-19,247605,2026-01-19,EVEN,C,A,N,8981,2026-01-19,E,WO,RA,RELEASE_BY_1,2026-01-19,RATE_ASSIGNE,2026-01-19,RATE_ASSIGN_,2026-01-19,I,TRN_TYPE_1,C,949,TXN0000000000000019,019,2026-01-19
MO,CONTRACT_REF_NO_,MAKER_ID_20,2026-01-20,CHECKER_ID_2,2026-01-20,539914,2026-01-20,EVEN,C,A,N,7664,2026-01-20,E,WO,RA,RELEASE_BY_2,2026-01-20,RATE_ASSIGNE,2026-01-20,RATE_ASSIGN_,2026-01-20,I,TRN_TYPE_2,C,6024,TXN0000000000000020,020,2026-01-20
MO,CONTRACT_REF_NO_,MAKER_ID_21,2026-01-21,CHECKER_ID_2,2026-01-21,471174,2026-01-21,EVEN,C,A,N,599,2026-01-21,E,WO,RA,RELEASE_BY_2,2026-01-21,RATE_ASSIGNE,2026-01-21,RATE_ASSIGN_,2026-01-21,I,TRN_TYPE_2,C,8138,TXN0000000000000021,021,2026-01-21
