FUNCTION_ID,FIELD_NAME,FIELD_NUM,AUTH_STAT
FUNCTION,Field Name 1,393,U
FUNCTION,Field Name 2,734,A
FUNCTION,Field Name 3,269,A
FUNCTION,Field Name 4,766,A
FUNCTION,Field Name 5,92,A
FUNCTION,Field Name 6,359,A
FUNCTION,Field Name 7,533,A
FUNCTION,Field Name 8,49,A
FUNCTION,Field Name 9,627,A
FUNCTION,Field Name 10,994,A
FUNCTION,Field Name 11,807,A
FUNCTION,Field Name 12,792,A
FUNCTION,Field Name 13,287,A
FUNCTION,Field Name 14,911,A
FUNCTION,Field Name 15,436,A
FUNCTION,Field Name 16,388,A
FUNCTION,Field Name 17,729,A
FUNCTION,Field Name 18,158,A
FUNCTION,Field Name 19,194,A
FUNCTION,Field Name 20,296,A
FUNCTION,Field Name 21,767,A
FUNCTION,Field Name 22,849,A
FUNCTION,Field Name 23,403,A
FUNCTION,Field Name 24,144,U
FUNCTION,Field Name 25,495,A
FUNCTION,Field Name 26,334,A
FUNCTION,Field Name 27,781,A
FUNCTION,Field Name 28,509,A
FUNCTION,Field Name 29,311,A
FUNCTION,Field Name 30,948,A
FUNCTION,Field Name 31,504,A
FUNCTION,Field Name 32,470,A
FUNCTION,Field Name 33,102,A
FUNCTION,Field Name 34,352,A
FUNCTION,Field Name 35,661,A
FUNCTION,Field Name 36,274,A
FUNCTION,Field Name 37,172,A
FUNCTION,Field Name 38,17,A
FUNCTION,Field Name 39,39,A
FUNCTION,Field Name 40,211,A
FUNCTION,Field Name 41,792,A
FUNCTION,Field Name 42,382,A
FUNCTION,Field Name 43,634,A
FUNCTION,Field Name 44,563,A
FUNCTION,Field Name 45,471,A
FUNCTION,Field Name 46,379,A
FUNCTION,Field Name 47,146,U
FUNCTION,Field Name 48,792,A
FUNCTION,Field Name 49,167,A
FUNCTION,Field Name 50,666,A
FUNCTION,Field Name 51,892,A
FUNCTION,Field Name 52,801,A
FUNCTION,Field Name 53,45,A
FUNCTION,Field Name 54,540,A
FUNCTION,Field Name 55,825,A
FUNCTION,Field Name 56,86,A
FUNCTION,Field Name 57,809,A
FUNCTION,Field Name 58,190,A
FUNCTION,Field Name 59,367,A
FUNCTION,Field Name 60,889,A
FUNCTION,Field Name 61,79,A
FUNCTION,Field Name 62,0,A
FUNCTION,Field Name 63,512,A
FUNCTION,Field Name 64,274,A
FUNCTION,Field Name 65,702,A
FUNCTION,Field Name 66,670,A
FUNCTION,Field Name 67,590,A
FUNCTION,Field Name 68,771,A
FUNCTION,Field Name 69,853,A
FUNCTION,Field Name 70,396,U
FUNCTION,Field Name 71,745,A
FUNCTION,Field Name 72,116,A
FUNCTION,Field Name 73,74,A
FUNCTION,Field Name 74,2,A
FUNCTION,Field Name 75,910,A
FUNCTION,Field Name 76,183,A
FUNCTION,Field Name 77,208,A
FUNCTION,Field Name 78,276,A
FUNCTION,Field Name 79,559,A
FUNCTION,Field Name 80,738,A
FUNCTION,Field Name 81,350,A
FUNCTION,Field Name 82,603,A
FUNCTION,Field Name 83,210,A
FUNCTION,Field Name 84,149,A
FUNCTION,Field Name 85,282,A
FUNCTION,Field Name 86,330,A
FUNCTION,Field Name 87,969,A
FUNCTION,Field Name 88,371,A
FUNCTION,Field Name 89,606,A
FUNCTION,Field Name 90,437,A
FUNCTION,Field Name 91,656,A
FUNCTION,Field Name 92,633,A
FUNCTION,Field Name 93,687,U
FUNCTION,Field Name 94,68,A
FUNCTION,Field Name 95,68,A
FUNCTION,Field Name 96,492,A
FUNCTION,Field Name 97,47,A
FUNCTION,Field Name 98,175,A
FUNCTION,Field Name 99,682,A
FUNCTION,Field Name 100,544,A
FUNCTION,Field Name 101,714,A
FUNCTION,Field Name 102,849,A
FUNCTION,Field Name 103,463,A
FUNCTION,Field Name 104,668,A
FUNCTION,Field Name 105,217,A
FUNCTION,Field Name 106,822,A
FUNCTION,Field Name 107,38,A
FUNCTION,Field Name 108,140,A
FUNCTION,Field Name 109,860,A
FUNCTION,Field Name 110,138,A
FUNCTION,Field Name 111,433,A
FUNCTION,Field Name 112,217,A
FUNCTION,Field Name 113,60,A
FUNCTION,Field Name 114,974,A
FUNCTION,Field Name 115,796,A
FUNCTION,Field Name 116,385,U
FUNCTION,Field Name 117,561,A
FUNCTION,Field Name 118,358,A
FUNCTION,Field Name 119,978,A
FUNCTION,Field Name 120,105,A
FUNCTION,Field Name 121,261,A
FUNCTION,Field Name 122,238,A
FUNCTION,Field Name 123,152,A
FUNCTION,Field Name 124,922,A
FUNCTION,Field Name 125,343,A
FUNCTION,Field Name 126,807,A
FUNCTION,Field Name 127,306,A
FUNCTION,Field Name 128,525,A
FUNCTION,Field Name 129,872,A
FUNCTION,Field Name 130,830,A
FUNCTION,Field Name 131,221,A
FUNCTION,Field Name 132,334,A
FUNCTION,Field Name 133,610,A
FUNCTION,Field Name 134,216,A
