COD_RECTYPE,COD_MODULE,COD_TS_FORMAT,COD_INT_COL,IDENTIFIER,COD_COL,COD_TAG_POS,COD_TAG_MODE,COD_TYPE,COD_TNAME,COD_CUBE_FORMAT,COD_CUBE_DEFAULTS,COD_CUBE_REFCHKS,COD_CUBE_COL,FLG_CUBE,COD_CUBE_DEFIND,COD_CUBE_KEYCNT,COD_CUBE_FUNCID,COD_CUBE_MAND,COD_CUBE_FLDNAME,COD_CUBE_KEYFLDS,COD_CUBE_DTYPE,COD_CUBE_DLENGTH,COD_CUBE_TRACK,COD_CUBE_MODIND,COD_PROC_TAG,COD_HEADER,COD_DATA_LENGTH,COD_DATA_TYPE,COD_MANDATORY,TYPE_OF_INTERFACE,MULTI_RECORD,FUNCTION_ID
COD_RECTYPE_1,CO,COD_TS_FORMAT_1,522396,IDENTIFIER_1,COD_COL_1,COD_TAG_POS_1,COD_TAG_MODE_1,C,Cod Tname 1,COD_CUBE_FORMAT_1,COD_CUBE_DEFAULTS_1,COD_CUBE_REFCHKS_1,412903,F,COD_CUBE_DEFIND_1,11872,COD_CUBE_FUNCID_1,COD_CUBE_MAND_1,Cod Cube Fldname 1,COD_CUBE_KEYFLDS_1,COD_CUBE_DTYPE_1,COD_CUBE_DLENGTH_1,COD_CUBE_TRACK_1,COD_CUBE_MODIND_1,COD_PROC_TAG_1,324236,COD_DATA_LENGTH_1,COD_DATA_TYPE_1,COD_MANDATORY_1,T,M,FUNCTION_ID_1
COD_RECTYPE_2,CO,COD_TS_FORMAT_2,56315,IDENTIFIER_2,COD_COL_2,COD_TAG_POS_2,COD_TAG_MODE_2,C,Cod Tname 2,COD_CUBE_FORMAT_2,COD_CUBE_DEFAULTS_2,COD_CUBE_REFCHKS_2,795882,F,COD_CUBE_DEFIND_2,796837,COD_CUBE_FUNCID_2,COD_CUBE_MAND_2,Cod Cube Fldname 2,COD_CUBE_KEYFLDS_2,COD_CUBE_DTYPE_2,COD_CUBE_DLENGTH_2,COD_CUBE_TRACK_2,COD_CUBE_MODIND_2,COD_PROC_TAG_2,932259,COD_DATA_LENGTH_2,COD_DATA_TYPE_2,COD_MANDATORY_2,T,M,FUNCTION_ID_2
COD_RECTYPE_3,CO,COD_TS_FORMAT_3,73767,IDENTIFIER_3,COD_COL_3,COD_TAG_POS_3,COD_TAG_MODE_3,C,Cod Tname 3,COD_CUBE_FORMAT_3,COD_CUBE_DEFAULTS_3,COD_CUBE_REFCHKS_3,633374,F,COD_CUBE_DEFIND_3,926219,COD_CUBE_FUNCID_3,COD_CUBE_MAND_3,Cod Cube Fldname 3,COD_CUBE_KEYFLDS_3,COD_CUBE_DTYPE_3,COD_CUBE_DLENGTH_3,COD_CUBE_TRACK_3,COD_CUBE_MODIND_3,COD_PROC_TAG_3,427416,COD_DATA_LENGTH_3,COD_DATA_TYPE_3,COD_MANDATORY_3,T,M,FUNCTION_ID_3
COD_RECTYPE_4,CO,COD_TS_FORMAT_4,154617,IDENTIFIER_4,COD_COL_4,COD_TAG_POS_4,COD_TAG_MODE_4,C,Cod Tname 4,COD_CUBE_FORMAT_4,COD_CUBE_DEFAULTS_4,COD_CUBE_REFCHKS_4,26369,F,COD_CUBE_DEFIND_4,823987,COD_CUBE_FUNCID_4,COD_CUBE_MAND_4,Cod Cube Fldname 4,COD_CUBE_KEYFLDS_4,COD_CUBE_DTYPE_4,COD_CUBE_DLENGTH_4,COD_CUBE_TRACK_4,COD_CUBE_MODIND_4,COD_PROC_TAG_4,386976,COD_DATA_LENGTH_4,COD_DATA_TYPE_4,COD_MANDATORY_4,T,M,FUNCTION_ID_4
COD_RECTYPE_5,CO,COD_TS_FORMAT_5,90562,IDENTIFIER_5,COD_COL_5,COD_TAG_POS_5,COD_TAG_MODE_5,C,Cod Tname 5,COD_CUBE_FORMAT_5,COD_CUBE_DEFAULTS_5,COD_CUBE_REFCHKS_5,298168,F,COD_CUBE_DEFIND_5,994355,COD_CUBE_FUNCID_5,COD_CUBE_MAND_5,Cod Cube Fldname 5,COD_CUBE_KEYFLDS_5,COD_CUBE_DTYPE_5,COD_CUBE_DLENGTH_5,COD_CUBE_TRACK_5,COD_CUBE_MODIND_5,COD_PROC_TAG_5,897140,COD_DATA_LENGTH_5,COD_DATA_TYPE_5,COD_MANDATORY_5,T,M,FUNCTION_ID_5
COD_RECTYPE_6,CO,COD_TS_FORMAT_6,471208,IDENTIFIER_6,COD_COL_6,COD_TAG_POS_6,COD_TAG_MODE_6,C,Cod Tname 6,COD_CUBE_FORMAT_6,COD_CUBE_DEFAULTS_6,COD_CUBE_REFCHKS_6,630763,F,COD_CUBE_DEFIND_6,903757,COD_CUBE_FUNCID_6,COD_CUBE_MAND_6,Cod Cube Fldname 6,COD_CUBE_KEYFLDS_6,COD_CUBE_DTYPE_6,COD_CUBE_DLENGTH_6,COD_CUBE_TRACK_6,COD_CUBE_MODIND_6,COD_PROC_TAG_6,351283,COD_DATA_LENGTH_6,COD_DATA_TYPE_6,COD_MANDATORY_6,T,M,FUNCTION_ID_6
COD_RECTYPE_7,CO,COD_TS_FORMAT_7,880992,IDENTIFIER_7,COD_COL_7,COD_TAG_POS_7,COD_TAG_MODE_7,C,Cod Tname 7,COD_CUBE_FORMAT_7,COD_CUBE_DEFAULTS_7,COD_CUBE_REFCHKS_7,490881,F,COD_CUBE_DEFIND_7,202608,COD_CUBE_FUNCID_7,COD_CUBE_MAND_7,Cod Cube Fldname 7,COD_CUBE_KEYFLDS_7,COD_CUBE_DTYPE_7,COD_CUBE_DLENGTH_7,COD_CUBE_TRACK_7,COD_CUBE_MODIND_7,COD_PROC_TAG_7,915018,COD_DATA_LENGTH_7,COD_DATA_TYPE_7,COD_MANDATORY_7,T,M,FUNCTION_ID_7
COD_RECTYPE_8,CO,COD_TS_FORMAT_8,437379,IDENTIFIER_8,COD_COL_8,COD_TAG_POS_8,COD_TAG_MODE_8,C,Cod Tname 8,COD_CUBE_FORMAT_8,COD_CUBE_DEFAULTS_8,COD_CUBE_REFCHKS_8,787722,F,COD_CUBE_DEFIND_8,433063,COD_CUBE_FUNCID_8,COD_CUBE_MAND_8,Cod Cube Fldname 8,COD_CUBE_KEYFLDS_8,COD_CUBE_DTYPE_8,COD_CUBE_DLENGTH_8,COD_CUBE_TRACK_8,COD_CUBE_MODIND_8,COD_PROC_TAG_8,494742,COD_DATA_LENGTH_8,COD_DATA_TYPE_8,COD_MANDATORY_8,T,M,FUNCTION_ID_8
COD_RECTYPE_9,CO,COD_TS_FORMAT_9,21801,IDENTIFIER_9,COD_COL_9,COD_TAG_POS_9,COD_TAG_MODE_9,C,Cod Tname 9,COD_CUBE_FORMAT_9,COD_CUBE_DEFAULTS_9,COD_CUBE_REFCHKS_9,984218,F,COD_CUBE_DEFIND_9,370977,COD_CUBE_FUNCID_9,COD_CUBE_MAND_9,Cod Cube Fldname 9,COD_CUBE_KEYFLDS_9,COD_CUBE_DTYPE_9,COD_CUBE_DLENGTH_9,COD_CUBE_TRACK_9,COD_CUBE_MODIND_9,COD_PROC_TAG_9,426413,COD_DATA_LENGTH_9,COD_DATA_TYPE_9,COD_MANDATORY_9,T,M,FUNCTION_ID_9
COD_RECTYPE_10,CO,COD_TS_FORMAT_10,352000,IDENTIFIER_10,COD_COL_10,COD_TAG_POS_10,COD_TAG_MODE_10,C,Cod Tname 10,COD_CUBE_FORMAT_10,COD_CUBE_DEFAULTS_10,COD_CUBE_REFCHKS_10,598877,F,COD_CUBE_DEFIND_10,363841,COD_CUBE_FUNCID_10,COD_CUBE_MAND_10,Cod Cube Fldname 10,COD_CUBE_KEYFLDS_10,COD_CUBE_DTYPE_10,COD_CUBE_DLENGTH_10,COD_CUBE_TRACK_10,COD_CUBE_MODIND_10,COD_PROC_TAG_10,55472,COD_DATA_LENGTH_10,COD_DATA_TYPE_10,COD_MANDATORY_10,T,M,FUNCTION_ID_10
