MODULE,CONTRACT_REF_NO,MAKER_ID,MAKER_DT_STAMP,CHECKER_ID,CHECKER_DT_STAMP,EVENT_SEQ_NO,EVENT_DATE,EVENT_CODE,CONTRACT_STATUS,AUTH_STATUS,NEW_VERSION_INDICATOR,REVERSED_EVENT_SEQ_NO,EVENT_VALUE_DATE,ECA_STATUS,WORKFLOW_STATUS,RATE_REVISION_STATUS,RELEASE_BY,RELEASE_DT_STAMP,RATE_ASSIGNED_BY,RATE_ASSIGN_DT_STAMP,RATE_ASSIGN_AUTH_BY,RATE_ASSIGN_AUTH_DT_STAMP,INFORM_STATUS,TRN_TYPE,CUTOFF_STATUS,CUTOFF_EVENT_SEQ_NO,TXN_ID,TXN_BRANCH
MO,CONTRACT_REF_NO_,MAKER_ID_1,2026-01-01,CHECKER_ID_1,2026-01-01,436511,2026-01-01,EVEN,C,U,N,5239,2026-01-01,E,WO,RA,RELEASE_BY_1,2026-01-01,RATE_ASSIGNE,2026-01-01,RATE_ASSIGN_,2026-01-01,I,TRN_TYPE_1,C,4827,TXN0000000000000001,001
MO,CONTRACT_REF_NO_,MAKER_ID_2,2026-01-02,CHECKER_ID_2,2026-01-02,338457,2026-01-02,EVEN,C,A,N,9288,2026-01-02,E,WO,RA,RELEASE_BY_2,2026-01-02,RATE_ASSIGNE,2026-01-02,RATE_ASSIGN_,2026-01-02,I,TRN_TYPE_2,C,8289,TXN0000000000000002,002
MO,CONTRACT_REF_NO_,MAKER_ID_3,2026-01-03,CHECKER_ID_3,2026-01-03,71437,2026-01-03,EVEN,C,A,N,1252,2026-01-03,E,WO,RA,RELEASE_BY_3,2026-01-03,RATE_ASSIGNE,2026-01-03,RATE_ASSIGN_,2026-01-03,I,TRN_TYPE_3,C,7295,TXN0000000000000003,003
MO,CONTRACT_REF_NO_,MAKER_ID_4,2026-01-04,CHECKER_ID_4,2026-01-04,70062,2026-01-04,EVEN,C,A,N,7005,2026-01-04,E,WO,RA,RELEASE_BY_4,2026-01-04,RATE_ASSIGNE,2026-01-04,RATE_ASSIGN_,2026-01-04,I,TRN_TYPE_4,C,2429,TXN0000000000000004,004
MO,CONTRACT_REF_NO_,MAKER_ID_5,2026-01-05,CHECKER_ID_5,2026-01-05,245645,2026-01-05,EVEN,C,A,N,610,2026-01-05,E,WO,RA,RELEASE_BY_5,2026-01-05,RATE_ASSIGNE,2026-01-05,RATE_ASSIGN_,2026-01-05,I,TRN_TYPE_5,C,3849,TXN0000000000000005,005
MO,CONTRACT_REF_NO_,MAKER_ID_6,2026-01-06,CHECKER_ID_6,2026-01-06,858498,2026-01-06,EVEN,C,A,N,7503,2026-01-06,E,WO,RA,RELEASE_BY_6,2026-01-06,RATE_ASSIGNE,2026-01-06,RATE_ASSIGN_,2026-01-06,I,TRN_TYPE_6,C,1788,TXN0000000000000006,006
MO,CONTRACT_REF_NO_,MAKER_ID_7,2026-01-07,CHECKER_ID_7,2026-01-07,630896,2026-01-07,EVEN,C,A,N,8228,2026-01-07,E,WO,RA,RELEASE_BY_7,2026-01-07,RATE_ASSIGNE,2026-01-07,RATE_ASSIGN_,2026-01-07,I,TRN_TYPE_7,C,6551,TXN0000000000000007,007
MO,CONTRACT_REF_NO_,MAKER_ID_8,2026-01-08,CHECKER_ID_8,2026-01-08,781934,2026-01-08,EVEN,C,A,N,7348,2026-01-08,E,WO,RA,RELEASE_BY_8,2026-01-08,RATE_ASSIGNE,2026-01-08,RATE_ASSIGN_,2026-01-08,I,TRN_TYPE_8,C,8080,TXN0000000000000008,008
MO,CONTRACT_REF_NO_,MAKER_ID_9,2026-01-09,CHECKER_ID_9,2026-01-09,674357,2026-01-09,EVEN,C,A,N,6913,2026-01-09,E,WO,RA,RELEASE_BY_9,2026-01-09,RATE_ASSIGNE,2026-01-09,RATE_ASSIGN_,2026-01-09,I,TRN_TYPE_9,C,8209,TXN0000000000000009,009
MO,CONTRACT_REF_NO_,MAKER_ID_10,2026-01-10,CHECKER_ID_1,2026-01-10,345035,2026-01-10,EVEN,C,A,N,6741,2026-01-10,E,WO,RA,RELEASE_BY_1,2026-01-10,RATE_ASSIGNE,2026-01-10,RATE_ASSIGN_,2026-01-10,I,TRN_TYPE_1,C,760,TXN0000000000000010,010
MO,CONTRACT_REF_NO_,MAKER_ID_11,2026-01-11,CHECKER_ID_1,2026-01-11,379011,2026-01-11,EVEN,C,A,N,4835,2026-01-11,E,WO,RA,RELEASE_BY_1,2026-01-11,RATE_ASSIGNE,2026-01-11,RATE_ASSIGN_,2026-01-11,I,TRN_TYPE_1,C,8236,TXN0000000000000011,011
MO,CONTRACT_REF_NO_,MAKER_ID_12,2026-01-12,CHECKER_ID_1,2026-01-12,503897,2026-01-12,EVEN,C,A,N,3910,2026-01-12,E,WO,RA,RELEASE_BY_1,2026-01-12,RATE_ASSIGNE,2026-01-12,RATE_ASSIGN_,2026-01-12,I,TRN_TYPE_1,C,1280,TXN0000000000000012,012
MO,CONTRACT_REF_NO_,MAKER_ID_13,2026-01-13,CHECKER_ID_1,2026-01-13,638216,2026-01-13,EVEN,C,A,N,8778,2026-01-13,E,WO,RA,RELEASE_BY_1,2026-01-13,RATE_ASSIGNE,2026-01-13,RATE_ASSIGN_,2026-01-13,I,TRN_TYPE_1,C,3279,TXN0000000000000013,013
MO,CONTRACT_REF_NO_,MAKER_ID_14,2026-01-14,CHECKER_ID_1,2026-01-14,202184,2026-01-14,EVEN,C,A,N,3256,2026-01-14,E,WO,RA,RELEASE_BY_1,2026-01-14,RATE_ASSIGNE,2026-01-14,RATE_ASSIGN_,2026-01-14,I,TRN_TYPE_1,C,8701,TXN0000000000000014,014
MO,CONTRACT_REF_NO_,MAKER_ID_15,2026-01-15,CHECKER_ID_1,2026-01-15,315167,2026-01-15,EVEN,C,A,N,1498,2026-01-15,E,WO,RA,RELEASE_BY_1,2026-01-15,RATE_ASSIGNE,2026-01-15,RATE_ASSIGN_,2026-01-15,I,TRN_TYPE_1,C,5586,TXN0000000000000015,015
MO,CONTRACT_REF_NO_,MAKER_ID_16,2026-01-16,CHECKER_ID_1,2026-01-16,786028,2026-01-16,EVEN,C,A,N,9460,2026-01-16,E,WO,RA,RELEASE_BY_1,2026-01-16,RATE_ASSIGNE,2026-01-16,RATE_ASSIGN_,2026-01-16,I,TRN_TYPE_1,C,6041,TXN0000000000000016,016
MO,CONTRACT_REF_NO_,MAKER_ID_17,2026-01-17,CHECKER_ID_1,2026-01-17,775048,2026-01-17,EVEN,C,A,N,7121,2026-01-17,E,WO,RA,RELEASE_BY_1,2026-01-17,RATE_ASSIGNE,2026-01-17,RATE_ASSIGN_,2026-01-17,I,TRN_TYPE_1,C,7580,TXN0000000000000017,017
MO,CONTRACT_REF_NO_,MAKER_ID_18,2026-01-18,CHECKER_ID_1,2026-01-18,211129,2026-01-18,EVEN,C,A,N,2048,2026-01-18,E,WO,RA,RELEASE_BY_1,2026-01-18,RATE_ASSIGNE,2026-01-18,RATE_ASSIGN_,2026-01-18,I,TRN_TYPE_1,C,6431,TXN0000000000000018,018
MO,CONTRACT_REF_NO_,MAKER_ID_19,2026-01-19,CHECKER_ID_1,2026-01-19,328217,2026-01-19,EVEN,C,A,N,1207,2026-01-19,E,WO,RA,RELEASE_BY_1,2026-01-19,RATE_ASSIGNE,2026-01-19,RATE_ASSIGN_,2026-01-19,I,TRN_TYPE_1,C,2387,TXN0000000000000019,019
MO,CONTRACT_REF_NO_,MAKER_ID_20,2026-01-20,CHECKER_ID_2,2026-01-20,889834,2026-01-20,EVEN,C,A,N,5783,2026-01-20,E,WO,RA,RELEASE_BY_2,2026-01-20,RATE_ASSIGNE,2026-01-20,RATE_ASSIGN_,2026-01-20,I,TRN_TYPE_2,C,4535,TXN0000000000000020,020
MO,CONTRACT_REF_NO_,MAKER_ID_21,2026-01-21,CHECKER_ID_2,2026-01-21,97028,2026-01-21,EVEN,C,A,N,3825,2026-01-21,E,WO,RA,RELEASE_BY_2,2026-01-21,RATE_ASSIGNE,2026-01-21,RATE_ASSIGN_,2026-01-21,I,TRN_TYPE_2,C,3679,TXN0000000000000021,021
MO,CONTRACT_REF_NO_,MAKER_ID_22,2026-01-22,CHECKER_ID_2,2026-01-22,582715,2026-01-22,EVEN,C,A,N,973,2026-01-22,E,WO,RA,RELEASE_BY_2,2026-01-22,RATE_ASSIGNE,2026-01-22,RATE_ASSIGN_,2026-01-22,I,TRN_TYPE_2,C,7212,TXN0000000000000022,022
MO,CONTRACT_REF_NO_,MAKER_ID_23,2026-01-23,CHECKER_ID_2,2026-01-23,938196,2026-01-23,EVEN,C,A,N,5268,2026-01-23,E,WO,RA,RELEASE_BY_2,2026-01-23,RATE_ASSIGNE,2026-01-23,RATE_ASSIGN_,2026-01-23,I,TRN_TYPE_2,C,4924,TXN0000000000000023,023
MO,CONTRACT_REF_NO_,MAKER_ID_24,2026-01-24,CHECKER_ID_2,2026-01-24,975776,2026-01-24,EVEN,C,U,N,156,2026-01-24,E,WO,RA,RELEASE_BY_2,2026-01-24,RATE_ASSIGNE,2026-01-24,RATE_ASSIGN_,2026-01-24,I,TRN_TYPE_2,C,9158,TXN0000000000000024,024
MO,CONTRACT_REF_NO_,MAKER_ID_25,2026-01-25,CHECKER_ID_2,2026-01-25,654100,2026-01-25,EVEN,C,A,N,7859,2026-01-25,E,WO,RA,RELEASE_BY_2,2026-01-25,RATE_ASSIGNE,2026-01-25,RATE_ASSIGN_,2026-01-25,I,TRN_TYPE_2,C,8967,TXN0000000000000025,025
MO,CONTRACT_REF_NO_,MAKER_ID_26,2026-01-26,CHECKER_ID_2,2026-01-26,533508,2026-01-26,EVEN,C,A,N,3963,2026-01-26,E,WO,RA,RELEASE_BY_2,2026-01-26,RATE_ASSIGNE,2026-01-26,RATE_ASSIGN_,2026-01-26,I,TRN_TYPE_2,C,1686,TXN0000000000000026,001
MO,CONTRACT_REF_NO_,MAKER_ID_27,2026-01-27,CHECKER_ID_2,2026-01-27,183948,2026-01-27,EVEN,C,A,N,8433,2026-01-27,E,WO,RA,RELEASE_BY_2,2026-01-27,RATE_ASSIGNE,2026-01-27,RATE_ASSIGN_,2026-01-27,I,TRN_TYPE_2,C,2976,TXN0000000000000027,002
