CCY,YEAR,MONTH,HOLIDAY_LIST
USD,2072,60,HOLIDAY_LIST_1
PEN,139,75,HOLIDAY_LIST_2
EUR,6509,34,HOLIDAY_LIST_3
BRL,7382,57,HOLIDAY_LIST_4
USD,9588,92,HOLIDAY_LIST_5
PEN,8141,2,HOLIDAY_LIST_6
EUR,2070,18,HOLIDAY_LIST_7
BRL,8077,86,HOLIDAY_LIST_8
USD,8,16,HOLIDAY_LIST_9
PEN,8201,30,HOLIDAY_LIST_10
EUR,6345,79,HOLIDAY_LIST_11
BRL,5837,48,HOLIDAY_LIST_12
USD,419,88,HOLIDAY_LIST_13
PEN,9184,77,HOLIDAY_LIST_14
EUR,6552,5,HOLIDAY_LIST_15
BRL,6140,59,HOLIDAY_LIST_16
USD,6917,38,HOLIDAY_LIST_17
PEN,8610,5,HOLIDAY_LIST_18
EUR,8143,10,HOLIDAY_LIST_19
BRL,9381,36,HOLIDAY_LIST_20
USD,5218,24,HOLIDAY_LIST_21
PEN,1623,79,HOLIDAY_LIST_22
EUR,3945,15,HOLIDAY_LIST_23
BRL,1772,73,HOLIDAY_LIST_24
USD,2668,41,HOLIDAY_LIST_25
PEN,7694,99,HOLIDAY_LIST_26
EUR,4803,90,HOLIDAY_LIST_27
BRL,3941,51,HOLIDAY_LIST_28
USD,5763,8,HOLIDAY_LIST_29
PEN,5344,91,HOLIDAY_LIST_30
EUR,1807,76,HOLIDAY_LIST_31
BRL,2236,19,HOLIDAY_LIST_32
USD,1820,73,HOLIDAY_LIST_33
PEN,1949,28,HOLIDAY_LIST_34
EUR,1016,84,HOLIDAY_LIST_35
BRL,7544,62,HOLIDAY_LIST_36
USD,8088,13,HOLIDAY_LIST_37
PEN,119,93,HOLIDAY_LIST_38
EUR,6781,54,HOLIDAY_LIST_39
BRL,6653,69,HOLIDAY_LIST_40
USD,5627,4,HOLIDAY_LIST_41
PEN,4807,10,HOLIDAY_LIST_42
EUR,7625,65,HOLIDAY_LIST_43
BRL,1763,39,HOLIDAY_LIST_44
USD,3974,45,HOLIDAY_LIST_45
PEN,1073,90,HOLIDAY_LIST_46
EUR,2138,74,HOLIDAY_LIST_47
BRL,7525,25,HOLIDAY_LIST_48
USD,8907,9,HOLIDAY_LIST_49
PEN,4290,54,HOLIDAY_LIST_50
EUR,527,0,HOLIDAY_LIST_51
BRL,3665,77,HOLIDAY_LIST_52
USD,6892,58,HOLIDAY_LIST_53
PEN,5194,17,HOLIDAY_LIST_54
EUR,1909,16,HOLIDAY_LIST_55
BRL,3597,88,HOLIDAY_LIST_56
USD,6716,39,HOLIDAY_LIST_57
PEN,2117,92,HOLIDAY_LIST_58
EUR,7509,24,HOLIDAY_LIST_59
BRL,164,97,HOLIDAY_LIST_60
USD,1615,13,HOLIDAY_LIST_61
PEN,3362,78,HOLIDAY_LIST_62
EUR,564,52,HOLIDAY_LIST_63
BRL,4730,73,HOLIDAY_LIST_64
USD,7034,74,HOLIDAY_LIST_65
PEN,1037,40,HOLIDAY_LIST_66
EUR,9817,31,HOLIDAY_LIST_67
BRL,3315,19,HOLIDAY_LIST_68
USD,2983,0,HOLIDAY_LIST_69
PEN,9192,43,HOLIDAY_LIST_70
EUR,995,26,HOLIDAY_LIST_71
BRL,6733,63,HOLIDAY_LIST_72
USD,9157,22,HOLIDAY_LIST_73
PEN,4857,24,HOLIDAY_LIST_74
EUR,1483,25,HOLIDAY_LIST_75
BRL,109,41,HOLIDAY_LIST_76
USD,4786,4,HOLIDAY_LIST_77
PEN,9761,88,HOLIDAY_LIST_78
EUR,2440,48,HOLIDAY_LIST_79
BRL,1322,46,HOLIDAY_LIST_80
USD,9157,84,HOLIDAY_LIST_81
PEN,4883,37,HOLIDAY_LIST_82
EUR,22,40,HOLIDAY_LIST_83
BRL,6891,2,HOLIDAY_LIST_84
USD,5479,42,HOLIDAY_LIST_85
PEN,992,58,HOLIDAY_LIST_86
EUR,79,58,HOLIDAY_LIST_87
BRL,9719,27,HOLIDAY_LIST_88
USD,5218,13,HOLIDAY_LIST_89
PEN,6,68,HOLIDAY_LIST_90
EUR,5855,19,HOLIDAY_LIST_91
BRL,8826,7,HOLIDAY_LIST_92
USD,7353,63,HOLIDAY_LIST_93
PEN,5422,61,HOLIDAY_LIST_94
EUR,4173,30,HOLIDAY_LIST_95
BRL,3450,19,HOLIDAY_LIST_96
USD,5968,36,HOLIDAY_LIST_97
PEN,8686,86,HOLIDAY_LIST_98
EUR,2247,61,HOLIDAY_LIST_99
BRL,4708,73,HOLIDAY_LIST_100
USD,3586,83,HOLIDAY_LIST_101
PEN,3344,71,HOLIDAY_LIST_102
EUR,4643,94,HOLIDAY_LIST_103
BRL,808,85,HOLIDAY_LIST_104
USD,461,58,HOLIDAY_LIST_105
PEN,2188,62,HOLIDAY_LIST_106
