AUTH_STAT,BRANCH_CODE,YEAR,MOD_NO,RECORD_STAT,WEEKLY_HOLIDAYS,CHECKER_DT_STAMP,CHECKER_ID,MAKER_DT_STAMP,MAKER_ID,ONCE_AUTH
U,001,8841,9412,O,WEEKLY_,2026-01-01,CHECKER_ID_1,2026-01-01,MAKER_ID_1,Y
A,002,966,1419,O,WEEKLY_,2026-01-02,CHECKER_ID_2,2026-01-02,MAKER_ID_2,Y
A,003,4753,2479,O,WEEKLY_,2026-01-03,CHECKER_ID_3,2026-01-03,MAKER_ID_3,Y
A,004,8684,3544,O,WEEKLY_,2026-01-04,CHECKER_ID_4,2026-01-04,MAKER_ID_4,Y
A,005,2886,5772,O,WEEKLY_,2026-01-05,CHECKER_ID_5,2026-01-05,MAKER_ID_5,Y
A,006,4210,1204,O,WEEKLY_,2026-01-06,CHECKER_ID_6,2026-01-06,MAKER_ID_6,Y
A,007,6842,130,O,WEEKLY_,2026-01-07,CHECKER_ID_7,2026-01-07,MAKER_ID_7,Y
A,008,1761,3051,O,WEEKLY_,2026-01-08,CHECKER_ID_8,2026-01-08,MAKER_ID_8,Y
A,009,5955,3369,O,WEEKLY_,2026-01-09,CHECKER_ID_9,2026-01-09,MAKER_ID_9,Y
A,010,2709,8638,O,WEEKLY_,2026-01-10,CHECKER_ID_1,2026-01-10,MAKER_ID_10,Y
A,011,7275,1283,O,WEEKLY_,2026-01-11,CHECKER_ID_1,2026-01-11,MAKER_ID_11,Y
A,012,9053,122,O,WEEKLY_,2026-01-12,CHECKER_ID_1,2026-01-12,MAKER_ID_12,Y
A,013,5785,7579,O,WEEKLY_,2026-01-13,CHECKER_ID_1,2026-01-13,MAKER_ID_13,Y
A,014,1646,7301,O,WEEKLY_,2026-01-14,CHECKER_ID_1,2026-01-14,MAKER_ID_14,Y
A,015,5858,5587,O,WEEKLY_,2026-01-15,CHECKER_ID_1,2026-01-15,MAKER_ID_15,Y
A,016,7657,7350,O,WEEKLY_,2026-01-16,CHECKER_ID_1,2026-01-16,MAKER_ID_16,Y
A,017,6670,8404,O,WEEKLY_,2026-01-17,CHECKER_ID_1,2026-01-17,MAKER_ID_17,Y
A,018,656,2442,O,WEEKLY_,2026-01-18,CHECKER_ID_1,2026-01-18,MAKER_ID_18,Y
A,019,965,1405,O,WEEKLY_,2026-01-19,CHECKER_ID_1,2026-01-19,MAKER_ID_19,Y
A,020,3870,1576,O,WEEKLY_,2026-01-20,CHECKER_ID_2,2026-01-20,MAKER_ID_20,Y
A,021,2265,4012,O,WEEKLY_,2026-01-21,CHECKER_ID_2,2026-01-21,MAKER_ID_21,Y
A,022,2755,131,O,WEEKLY_,2026-01-22,CHECKER_ID_2,2026-01-22,MAKER_ID_22,Y
A,023,7303,6449,O,WEEKLY_,2026-01-23,CHECKER_ID_2,2026-01-23,MAKER_ID_23,Y
U,024,3401,4414,O,WEEKLY_,2026-01-24,CHECKER_ID_2,2026-01-24,MAKER_ID_24,Y
A,025,9625,6161,O,WEEKLY_,2026-01-25,CHECKER_ID_2,2026-01-25,MAKER_ID_25,Y
A,001,8222,350,O,WEEKLY_,2026-01-26,CHECKER_ID_2,2026-01-26,MAKER_ID_26,Y
A,002,6544,3625,O,WEEKLY_,2026-01-27,CHECKER_ID_2,2026-01-27,MAKER_ID_27,Y
A,003,1217,6728,O,WEEKLY_,2026-01-28,CHECKER_ID_2,2026-01-28,MAKER_ID_28,Y
A,004,4607,9448,O,WEEKLY_,2026-01-29,CHECKER_ID_2,2026-01-29,MAKER_ID_29,Y
A,005,5398,3365,O,WEEKLY_,2026-01-30,CHECKER_ID_3,2026-01-30,MAKER_ID_30,Y
A,006,6580,2826,O,WEEKLY_,2026-01-31,CHECKER_ID_3,2026-01-31,MAKER_ID_31,Y
A,007,6933,9840,O,WEEKLY_,2026-02-01,CHECKER_ID_3,2026-02-01,MAKER_ID_32,Y
A,008,6763,2059,O,WEEKLY_,2026-02-02,CHECKER_ID_3,2026-02-02,MAKER_ID_33,Y
A,009,1746,8611,O,WEEKLY_,2026-02-03,CHECKER_ID_3,2026-02-03,MAKER_ID_34,Y
A,010,6720,4433,O,WEEKLY_,2026-02-04,CHECKER_ID_3,2026-02-04,MAKER_ID_35,Y
A,011,2728,1861,O,WEEKLY_,2026-02-05,CHECKER_ID_3,2026-02-05,MAKER_ID_36,Y
A,012,6229,9408,O,WEEKLY_,2026-02-06,CHECKER_ID_3,2026-02-06,MAKER_ID_37,Y
A,013,6561,8536,O,WEEKLY_,2026-02-07,CHECKER_ID_3,2026-02-07,MAKER_ID_38,Y
A,014,2517,867,O,WEEKLY_,2026-02-08,CHECKER_ID_3,2026-02-08,MAKER_ID_39,Y
A,015,6242,5230,O,WEEKLY_,2026-02-09,CHECKER_ID_4,2026-02-09,MAKER_ID_40,Y
A,016,801,258,O,WEEKLY_,2026-02-10,CHECKER_ID_4,2026-02-10,MAKER_ID_41,Y
A,017,4383,6081,O,WEEKLY_,2026-02-11,CHECKER_ID_4,2026-02-11,MAKER_ID_42,Y
A,018,1305,5395,O,WEEKLY_,2026-02-12,CHECKER_ID_4,2026-02-12,MAKER_ID_43,Y
A,019,9985,73,O,WEEKLY_,2026-02-13,CHECKER_ID_4,2026-02-13,MAKER_ID_44,Y
A,020,9048,892,O,WEEKLY_,2026-02-14,CHECKER_ID_4,2026-02-14,MAKER_ID_45,Y
A,021,8550,4314,O,WEEKLY_,2026-02-15,CHECKER_ID_4,2026-02-15,MAKER_ID_46,Y
U,022,1547,5411,O,WEEKLY_,2026-02-16,CHECKER_ID_4,2026-02-16,MAKER_ID_47,Y
A,023,6947,3346,O,WEEKLY_,2026-02-17,CHECKER_ID_4,2026-02-17,MAKER_ID_48,Y
A,024,1345,4987,O,WEEKLY_,2026-02-18,CHECKER_ID_4,2026-02-18,MAKER_ID_49,Y
A,025,3523,2357,O,WEEKLY_,2026-02-19,CHECKER_ID_5,2026-02-19,MAKER_ID_50,Y
A,001,4186,5448,O,WEEKLY_,2026-02-20,CHECKER_ID_5,2026-02-20,MAKER_ID_51,Y
A,002,6471,5285,O,WEEKLY_,2026-02-21,CHECKER_ID_5,2026-02-21,MAKER_ID_52,Y
A,003,5082,9483,O,WEEKLY_,2026-02-22,CHECKER_ID_5,2026-02-22,MAKER_ID_53,Y
A,004,6567,567,O,WEEKLY_,2026-02-23,CHECKER_ID_5,2026-02-23,MAKER_ID_54,Y
A,005,9921,8477,O,WEEKLY_,2026-02-24,CHECKER_ID_5,2026-02-24,MAKER_ID_55,Y
A,006,4609,4997,O,WEEKLY_,2026-02-25,CHECKER_ID_5,2026-02-25,MAKER_ID_56,Y
A,007,6100,5614,O,WEEKLY_,2026-02-26,CHECKER_ID_5,2026-02-26,MAKER_ID_57,Y
A,008,6235,3694,O,WEEKLY_,2026-02-27,CHECKER_ID_5,2026-02-27,MAKER_ID_58,Y
A,009,2041,6781,O,WEEKLY_,2026-02-28,CHECKER_ID_5,2026-02-28,MAKER_ID_59,Y
A,010,4085,7344,O,WEEKLY_,2026-03-01,CHECKER_ID_6,2026-03-01,MAKER_ID_60,Y
A,011,6411,8581,O,WEEKLY_,2026-03-02,CHECKER_ID_6,2026-03-02,MAKER_ID_61,Y
A,012,8961,7688,O,WEEKLY_,2026-03-03,CHECKER_ID_6,2026-03-03,MAKER_ID_62,Y
A,013,7380,4228,O,WEEKLY_,2026-03-04,CHECKER_ID_6,2026-03-04,MAKER_ID_63,Y
A,014,272,3780,O,WEEKLY_,2026-03-05,CHECKER_ID_6,2026-03-05,MAKER_ID_64,Y
A,015,4408,3482,O,WEEKLY_,2026-03-06,CHECKER_ID_6,2026-03-06,MAKER_ID_65,Y
A,016,8700,3005,O,WEEKLY_,2026-03-07,CHECKER_ID_6,2026-03-07,MAKER_ID_66,Y
A,017,4327,4234,O,WEEKLY_,2026-03-08,CHECKER_ID_6,2026-03-08,MAKER_ID_67,Y
A,018,8003,6594,O,WEEKLY_,2026-03-09,CHECKER_ID_6,2026-03-09,MAKER_ID_68,Y
A,019,5228,1568,O,WEEKLY_,2026-03-10,CHECKER_ID_6,2026-03-10,MAKER_ID_69,Y
