ONCE_AUTH,MAKER_ID,MAKER_DT_STAMP,CHECKER_ID,CHECKER_DT_STAMP,RECORD_STAT,MOD_NO,AUTH_STAT,YEAR,CLEARING_HOUSE,WEEKLY_HOLIDAYS
Y,MAKER_ID_1,2026-01-01,CHECKER_ID_1,2026-01-01,O,2545,U,6649,CLE,WEEKLY_
Y,MAKER_ID_2,2026-01-02,CHECKER_ID_2,2026-01-02,O,3727,A,711,CLE,WEEKLY_
Y,MAKER_ID_3,2026-01-03,CHECKER_ID_3,2026-01-03,O,8520,A,7388,CLE,WEEKLY_
Y,MAKER_ID_4,2026-01-04,CHECKER_ID_4,2026-01-04,O,2051,A,7187,CLE,WEEKLY_
Y,MAKER_ID_5,2026-01-05,CHECKER_ID_5,2026-01-05,O,8669,A,2553,CLE,WEEKLY_
Y,MAKER_ID_6,2026-01-06,CHECKER_ID_6,2026-01-06,O,6427,A,1692,CLE,WEEKLY_
Y,MAKER_ID_7,2026-01-07,CHECKER_ID_7,2026-01-07,O,4240,A,6849,CLE,WEEKLY_
Y,MAKER_ID_8,2026-01-08,CHECKER_ID_8,2026-01-08,O,3747,A,8767,CLE,WEEKLY_
Y,MAKER_ID_9,2026-01-09,CHECKER_ID_9,2026-01-09,O,4992,A,7735,CLE,WEEKLY_
Y,MAKER_ID_10,2026-01-10,CHECKER_ID_1,2026-01-10,O,3928,A,964,CLE,WEEKLY_
Y,MAKER_ID_11,2026-01-11,CHECKER_ID_1,2026-01-11,O,9989,A,5980,CLE,WEEKLY_
Y,MAKER_ID_12,2026-01-12,CHECKER_ID_1,2026-01-12,O,5913,A,6663,CLE,WEEKLY_
Y,MAKER_ID_13,2026-01-13,CHECKER_ID_1,2026-01-13,O,7661,A,6200,CLE,WEEKLY_
Y,MAKER_ID_14,2026-01-14,CHECKER_ID_1,2026-01-14,O,2912,A,5231,CLE,WEEKLY_
Y,MAKER_ID_15,2026-01-15,CHECKER_ID_1,2026-01-15,O,1697,A,4228,CLE,WEEKLY_
